,accuracy,precision,recall,fscore
voting,0.8113475177304964,0.8036857473228409,0.8113475177304964,0.8051184430293665
gradient_boosting,0.8099290780141843,0.8015716273275063,0.8099290780141843,0.8025849518643331
support_vector_machines,0.8113475177304964,0.8024150651661214,0.8113475177304964,0.8005851403468898
adaboost,0.8042553191489362,0.7951379931109757,0.8042553191489362,0.7962382434995371
random_forest,0.8014184397163121,0.7909183448928923,0.8014184397163121,0.7887614503627636
logistic_regression,0.7602836879432624,0.815367518882329,0.7602836879432624,0.7719935446908444
k_nearest_neighbors,0.774468085106383,0.7634624002025873,0.774468085106383,0.7665209624344095
decision_tree,0.7092198581560284,0.6935909444941962,0.7092198581560284,0.6996186527896252
dummy_classifier,0.724822695035461,0.5253679392384689,0.724822695035461,0.6091848637551326
